"Date","Year","Quarter","FY","QFY","Month","BSD_LEN_ADB","BSD_LEN_WB","BSD_LEN","BSD_DBR","BSD_NPAFG_AUT","BSD_NPAFG_BEL","BSD_NPAFG_EUU","BSD_NPAFG_DEU","BSD_NPAFG_IRL","BSD_NPAFG_NLD","BSD_NPAFG_NOR","BSD_NPAFG_SWE","BSD_NPAFG_CHE","BSD_NPAFG_GBR","BSD_NPAFG_WB","BSD_NPAFG","BSD_PAFG_AUT","BSD_PAFG_ADB","BSD_PAFG_BEL","BSD_PAFG_CIDA","BSD_PAFG_DNK","BSD_PAFG_EUU","BSD_PAFG_FRA","BSD_PAFG_DEU","BSD_PAFG_IRL","BSD_PAFG_ITA","BSD_PAFG_JPN","BSD_PAFG_NLD","BSD_PAFG_NOR","BSD_PAFG_SWE","BSD_PAFG_GBR","BSD_PAFG_USAID","BSD_PAFG_IFAD","BSD_PAFG_WB","BSD_PAFG_GF","BSD_PAFG","BSD_GRA_TOT","BSD"
2005-05-01,2005,"Q2","2004/05","Q4","May",0,0,0,7.03611923,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0.274963,0,,,3.606344,,0,0,0,0,0,0,0,7.86657,0,11.747877,18.78399623,18.78399623
2005-06-01,2005,"Q2","2004/05","Q4","June",0,0,0,4.90597618,0,0,0,4.83387915,0,1.32968,0,0,0,0,,6.16355915,0,,0,0,0,0,0.272089108871994,,0,,0,0,0,2.84575981787137,0,0,0,,0,3.11784892674337,14.1873842567434,14.1873842567434
2005-07-01,2005,"Q3","2005/06","Q1","July",,0,0,2.54532637,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.26814622,,0,,0,0,0,0,0,0,0,,0,0.26814622,2.81347259,2.81347259
2005-08-01,2005,"Q3","2005/06","Q1","August",,0,0,5.4732242,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.7476196,,,0,,0,0,0.389074,0,0,0,0,,0,1.1366936,6.6099178,6.6099178
2005-09-01,2005,"Q3","2005/06","Q1","September",,0,0,4.14087467,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,3.17441,,0,0.5,0,0,0,0,0,5.163,0,8.83741,12.97828467,12.97828467
2005-10-01,2005,"Q4","2005/06","Q2","October",29.199633,0,29.199633,6.36728416,0,,0,4.839879,0,0,0,0,0,,,4.839879,0,,0,0,0,0,,,0,,0,0,0,0,0,0,0,,0,0,11.20716316,40.40679616
2005-11-01,2005,"Q4","2005/06","Q2","November",,3.429764,3.429764,5.63807815,0,,0,,0,0,0,0,0,,,0,0,,0,0,0,0,,,2.92,,0,0,0,0,0,0,0,,0,2.92,8.55807815,11.98784215
2005-12-01,2005,"Q4","2005/06","Q2","December",,7.72,7.72,8.45418165,0,,17.811750005,,0,0,0,0,0,,,17.811750005,0,,0,0,0.899963,0,,,7.91064,,0,5.499963,4.78527,0.136333,0,0,0,21.4,0,40.632169,66.898100655,74.618100655
2006-01-01,2006,"Q1","2005/06","Q3","January",,0,0,4.17174718,0,,0,,0,0,0,0,0,53.154,,53.154,0,,4.8276,0,4.7,0,,,0,,0,0,0,0,0,0,0,,0,9.5276,66.85334718,66.85334718
2006-02-01,2006,"Q1","2005/06","Q3","February",,0,0,5.20943141,0,,0,,0,0,0,0,0,,,0,0,,0,0,2.879963,0,,,0,,0,12.971,0,0,0,0,0,,0,15.850963,21.06039441,21.06039441
2006-03-01,2006,"Q1","2005/06","Q3","March",,0,0,11.75867211,0,,6.926884,,0,0,0,0,0,,,6.926884,0,,0,0,0,0,,,0,,0,0,0,0,0,0,0,,0,0,18.68555611,18.68555611
2006-04-01,2006,"Q2","2005/06","Q4","April",,0,0,6.56796364,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,6.56796364,6.56796364
2006-05-01,2006,"Q2","2005/06","Q4","May",,0,0,13.8,0,0,0,0,2.5698,0,0,0,0,,,2.5698,0,,0,0,0,0,,,3.687663,,0,0,2.94375969,0,0,0,0,0,0,6.63142269,23.00122269,23.00122269
2006-06-01,2006,"Q2","2005/06","Q4","June",,1.462478,1.462478,7.102381758,0,0,0,0,0,0,0,0,0,9.217,,9.217,0,,0,0,0,0,,,0,,0,0,0.102639,0.152963,0,0,0,3.263355,0,3.518957,19.838338758,21.300816758
2006-07-01,2006,"Q3","2006/07","Q1","July",0,28.37766416,28.37766416,2.96041519,0,0,0,0,0,0,0,0,0,0,114.271099,114.271099,0,5.88419,0,0,0.274963,0,0,0,7.15737,0,0,0,0,0,0,0,0,0,0,13.316523,130.54803719,158.92570135
2006-08-01,2006,"Q3","2006/07","Q1","August",0,0.1,0.1,3.64951260879265,0,0,0,4.61543179,0,0,0,0,0,0,0,4.61543179,0,0,0,0,0,0,0,0.51332,2.758888,0,0,0,0,0,0,0,0,0,0,3.272208,11.5371523987927,11.6371523987927
2006-09-01,2006,"Q3","2006/07","Q1","September",0,0,0,5.55270566285616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.607894,0,0,0,0,0,4.607894,10.1605996628562,10.1605996628562
2006-10-01,2006,"Q4","2006/07","Q2","October",0,4.8435,4.8435,5.57974517221138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.03895,0,6.03895,11.6186951722114,16.4621951722114
2006-11-01,2006,"Q4","2006/07","Q2","November",0,0,0,4.91856954969524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.146102,0,0,0,0,0,0,0,0,0,0,5.146102,10.0646715496952,10.0646715496952
2006-12-01,2006,"Q4","2006/07","Q2","December",0,0.756311,0.756311,3.60658400066051,0,0,42.2510684626839,0,0,0,0,0,0,68.845,0,111.096068462684,2.37635890102808,0,0,0,0,0,0,0,8.41323,0,0,8.19776,9.062408,4.6783447,0,0,0,0,0,32.7281016010281,147.430754064373,148.187065064373
2007-01-01,2007,"Q1","2006/07","Q3","January",0,3.17,3.17,3.08873144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,3.35873144,6.52873144
2007-02-01,2007,"Q1","2006/07","Q3","February",0,0,0,5.37772898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5854,0,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7254,11.10312898,11.10312898
2007-03-01,2007,"Q1","2006/07","Q3","March",0,10.5,10.5,6.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75805,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75805,14.78805,25.28805
2007-04-01,2007,"Q2","2006/07","Q4","April",0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77896912,0,0,0,0,0,0,0,0,0,0,0,0,1.77896912,5.97896912,5.97896912
2007-05-01,2007,"Q2","2006/07","Q4","May",0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,18.33355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.33355,23.63355,23.63355
2007-06-01,2007,"Q2","2006/07","Q4","June",0,216.280385,216.280385,2,0,0,0,4.8456,2.5954,0,0,0,0,0,0,7.441,0,0,0,0,0.275,0,0,0,15.16942,0,0,0,1.594628,0,0,0,0,0,0,17.039048,26.480048,242.760433
2007-07-01,2007,"Q3","2007/08","Q1","July",0,0,0,3.38265691,0,0,0,4.9324295,0,15.01037348,0,0,0,0,0,19.94280298,0,0,2.79582,0,0,0,0,0,0,0,0,0,0,4.82297,0,0,0,0,0,7.61879,30.94424989,30.94424989
2007-08-01,2007,"Q3","2007/08","Q1","August",0,0,0,4.5065204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75,0,0,0,0,0,0,0,6.75,11.2565204,11.2565204
2007-09-01,2007,"Q3","2007/08","Q1","September",0,0,0,4.73796322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73796322,4.73796322
2007-10-01,2007,"Q4","2007/08","Q2","October",0,0,0,4.59647122,0,0,0,0,0,6.943282996,0,0,0,0,0,6.943282996,0,0,0,0,0,0,0,0,3.061698,0.032466,0,0,0,0,0,0,0,0,0,3.094164,14.633918216,14.633918216
2007-11-01,2007,"Q4","2007/08","Q2","November",0,0,0,4.15222912,0,0,0,0,0,0,0,0,0,0,0,0,2.19230769230769,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,5.99230769230769,10.1445368123077,10.1445368123077
2007-12-01,2007,"Q4","2007/08","Q2","December",0,0,0,2.15315642,0,0,0,0,0,5.61130273,0,0,0,69.3455,0,74.95680273,0,0,0,0,6.455863,0,0,0,5.72481,0,0,0,9.3,0.30281,0,0,0,0,0,21.783483,98.89344215,98.89344215
2008-01-01,2008,"Q1","2007/08","Q3","January",0,2.414071,2.414071,2.71454981,0,0,41.0144,0,0,0,0,0,0,0,0,41.0144,0,0,0,0,1.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.139,44.86794981,47.28202081
2008-02-01,2008,"Q1","2007/08","Q3","February",0,0,0,6.13835296,0,0,0,0,0,7.407482222,0,0,0,0,0,7.407482222,0,0,0,0,0,0,0,0,1.33335,0,0,0,0,0,0,0,0,0,0,1.33335,14.879185182,14.879185182
2008-03-01,2008,"Q1","2007/08","Q3","March",0,0,0,4.94331121,0,0,0,0,0,0,0,0,0,0,0,0,0,18.42043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.42043,23.36374121,23.36374121
2008-04-01,2008,"Q2","2007/08","Q4","April",0,0,0,4.54176228,0,0,0,0,0,0,0,0,0,0,0,0,1.10628,0,0,0,0,0,0,0,5.324212,0,0,0,2.85528942,0,0,0,0,0,0,9.28578142,13.8275437,13.8275437
2008-05-01,2008,"Q2","2007/08","Q4","May",0,0,0,3.50865538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50865538,3.50865538
2008-06-01,2008,"Q2","2007/08","Q4","June",0,0,0,2.21703059,0,0,0,0,0,0,0,0,0,0,0,0,2.01331,0,0,0,4.49750425411231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.51081425411231,8.72784484411231,8.72784484411231
2008-07-01,2008,"Q3","2008/09","Q1","July",0,0,0,2.43893768605324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825775,3.26471268605324,3.26471268605324
2008-08-01,2008,"Q3","2008/09","Q1","August",0,0,0,5.86634292762437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.923167,0,0,0,3.404543,0,0,0,0,0,0,0,0,0,0,10.32771,16.1940529276244,16.1940529276244
2008-09-01,2008,"Q3","2008/09","Q1","September",0,8.727539,8.727539,3.97970378753756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.088,0,0,0,0,0,0,0,0,0,0,7.088,11.0677037875376,19.7952427875376
2008-10-01,2008,"Q4","2008/09","Q2","October",0,0,0,4.8161284848302,0,0,6.67020087,0,0,0,0,0,0,0,0,6.67020087,0,0,0,0,2.3579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3579,13.8442293548302,13.8442293548302
2008-11-01,2008,"Q4","2008/09","Q2","November",0,2.158825,2.158825,3.68455237012663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.023271511328,0,0,0,0,0,0,0,0,0,0,0,0,1.023271511328,4.70782388145463,6.86664888145463
2008-12-01,2008,"Q4","2008/09","Q2","December",0,0,0,2.09933962713438,0,0,0,0,0,0,0,0,0,0,0,0,3.09227375,0,1.2736,0,0,0,0,0,16.49269886,0.039464,0,23.28755308,16.10075245,0,0,0,0,0,0,60.28634214,62.3856817671344,62.3856817671344
2009-01-01,2009,"Q1","2008/09","Q3","January",0,95.103125,95.103125,2.13809095174121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01762678,0,0.56670988,0,0,0.039464,0,0,0,0,0,0,0,0,0,2.62380066,4.76189161174121,99.8650166117412
2009-02-01,2009,"Q1","2008/09","Q3","February",0,0,0,5.62003137,0,0,0,3.870200989,0,0,0,0,0,0,0,3.870200989,0.082875,0,0,0,6.34996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.432835,15.923067359,15.923067359
2009-03-01,2009,"Q1","2008/09","Q3","March",0,0,0,5.33631155,0,0,0,0,0,0,0,0,0,48.2087023594716,0,48.2087023594716,0.901308372007656,18.70499075,0,0,0.69704271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3033418320077,73.8483557414793,73.8483557414793
2009-04-01,2009,"Q2","2008/09","Q4","April",0,0,0,3.97003919,0,0,0,0,0,0,0,0,0,0,0,0,0.583525850394328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583525850394328,4.55356504039433,4.55356504039433
2009-05-01,2009,"Q2","2008/09","Q4","May",0,6.208605,6.208605,2.25396117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.65,0,0,0,0,0,0.99300699,0,0,0,0.77086115,0,0,0,0,0,0,8.41386814,10.66782931,16.87643431
2009-06-01,2009,"Q2","2008/09","Q4","June",0,5.842458,5.842458,2.09617433988801,0,0,42.2071527054785,0,0,0,0,0,0,0,0,42.2071527054785,0,0,0,0,0,1.40309522807313,0,0,0.358836525336673,0,0,0,0,0,0,0,0,0,0,1.7619317534098,46.0652587987763,51.9077167987763
2009-07-01,2009,"Q3","2009/10","Q1","July",0,0,0,2.78214276,0,0,0,0,0,0,0,0,0,0,0,0,1.02605909374468,0,0,0,0.27496,0,0,0.560068890195749,9.7587,0,0,0,0,4.21323,0,0,0,0,0,15.8330179839404,18.6151607439404,18.6151607439404
2009-08-01,2009,"Q3","2009/10","Q1","August",0,0,0,5.97961804,0,0,0,0,0,0,0,0,0,0,0,0,3.5103806976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5103806976,9.4899987376,9.4899987376
2009-09-01,2009,"Q3","2009/10","Q1","September",0,110.95981104,110.95981104,5.5356242830362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5637312,0.071081051734,0,0,0,0,0,0,0,0,0,15.634812251734,21.1704365347702,132.13024757477
2009-10-01,2009,"Q4","2009/10","Q2","October",0,0,0,3.25238341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07395754,0,1.195984884672,0.07341497,1.4900909,0,0,0,0,0,0,0,0,0,0,2.833448294672,6.085831704672,6.085831704672
2009-11-01,2009,"Q4","2009/10","Q2","November",0,1.404373,1.404373,2.36428244642365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24636538,1.8610052375,0,0.073805,0,0,0,0,0,1.858749,0,0,0,0,0,10.0399246175,12.4042070639236,13.8085800639236
2009-12-01,2009,"Q4","2009/10","Q2","December",0,4.02037196,4.02037196,2.10647841597428,0,0,0,0,0,0,0,0,0,0,0,0,1.85651713,0,2.20815,0,1.91461680722357,0,0,0,0,0.060276575088,0,24.3187706551277,13.4246891,4.889935,1.437399,0,0,0,0,50.1103542674393,52.2168326834135,56.2372046434135
2010-01-01,2010,"Q1","2009/10","Q3","January",0,0,0,2.46925836793543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46925836793543,2.46925836793543
2010-02-01,2010,"Q1","2009/10","Q3","February",0,0,0,6.08773475249837,0,0,0,0,0,0,0,0,0,0,0,0,0.034395,0,0,0,13.20358705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.23798205,19.3257168024984,19.3257168024984
2010-03-01,2010,"Q1","2009/10","Q3","March",0,3.40668025,3.40668025,5.40021375038887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44979882,0,0,0,0,0,0,5.44979882,10.8500125703889,14.2566928203889
2010-04-01,2010,"Q2","2009/10","Q4","April",0,0,0,3.3325918092414,0,0,0,0,0,0,0,0,0,49.2924635614942,0,49.2924635614942,0,0,1.98541382642189,0,0.05190083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03731465642189,54.6623700271575,54.6623700271575
2010-05-01,2010,"Q2","2009/10","Q4","May",0,0.25136817,0.25136817,2.18218026241091,0,0,0,0,0,0,0,0,0,0,0,0,0.359402127,0,0,0,0.16919791,3.46214092776003,0,0,4.89335,0,0,0,0,0,0,0,0,0,0,8.88409096476003,11.0662712271709,11.3176393971709
2010-06-01,2010,"Q2","2009/10","Q4","June",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88892071,0,0,0,0,6.025,0,0,1.8075,0,0,0,0,4.16666666,0,0,0,0,0,12.88808737,12.88808737,12.88808737
2010-07-01,2010,"Q3","2010/11","Q1","July",0,0,0,2.19281405,0,0,0,0,0,0,0,0,0,0,0,0,0.699253825724042,0,0,0,0,0,0,0.252927785506513,0,0,0,0,0,0,0,0,0,0,0,0.952181611230555,3.14499566123056,3.14499566123056
2010-08-01,2010,"Q3","2010/11","Q1","August",0,0.70091706,0.70091706,6.47535331,0,0,29.33392871748,0,0,0,0,0,0,0,0,29.33392871748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.80928202748,36.51019908748
2010-09-01,2010,"Q3","2010/11","Q1","September",0,0,0,4.92481895,0,0,0,0,0,0,0,0,0,41.9472955384497,0,41.9472955384497,0,0,0,0,4.96306557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96306557,51.8351800584497,51.8351800584497
2010-10-01,2010,"Q4","2010/11","Q2","October",0,0,0,4.53301974,0,0,0,0,0,0,0,0,0,0,0,0,3.43558273,0,0,0,0,0,0,0,17.4153851204909,0,0,19.2443778523121,0,0.882635,0,0,0,0,0,40.977980702803,45.511000442803,45.511000442803
2010-11-01,2010,"Q4","2010/11","Q2","November",0,100.916624,100.916624,1.97739793,0,0,0,0,0,0,0,0,0,0,0,0,0.230886494212606,0,0,0,0,0,0,0,0.411123,0,0,0,4.8582996,4.99282533,0,0,0,0,0,10.4931344242126,12.4705323542126,113.387156354213
2010-12-01,2010,"Q4","2010/11","Q2","December",0,0,0,3.35060688516076,0,0,0,0,0,0,0,0,0,0,0,0,3.63093,0,5.3376,0,4.72373462,1.37397446,0,4.147978117,1.21881414,0,0,6.42478326875,7.31872295,0,0,0,0,0,0,34.17653755575,37.5271444409108,37.5271444409108
2011-01-01,2011,"Q1","2010/11","Q3","January",0,0.36934173,0.36934173,2.2216908715795,0,0,0,0,0,0,0,0,0,0,0,0,0.669550196178207,0,0,0,0.08477896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754329156178207,2.97602002775771,3.34536175775771
2011-02-01,2011,"Q1","2010/11","Q3","February",0,0,0,6.7199179693444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7199179693444,6.7199179693444
2011-03-01,2011,"Q1","2010/11","Q3","March",0,0,0,6.47143150292185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47143150292185,6.47143150292185
2011-04-01,2011,"Q2","2010/11","Q4","April",0,0,0,4.23138958732693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33671828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33671828,7.56810786732693,7.56810786732693
2011-05-01,2011,"Q2","2010/11","Q4","May",0,0,0,1.91148153415401,0,0,0,0,0,0,0,0,0,0,0,0,0.815570175438596,0,0,0,5.140395315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9559654904386,7.86744702459261,7.86744702459261
2011-06-01,2011,"Q2","2010/11","Q4","June",0,0,0,3.49167337203421,0,0,0,0,0,0,0,0,0,0,0,0,1.4204610615614,0,0,0,0,0,0,0,0,0,0,0,2.74223035,0,0,0,0,0,0,4.1626914115614,7.65436478359562,7.65436478359562
2011-07-01,2011,"Q3","2011/12","Q1","July",0,0,0,2.40114652008876,0,0,0,0,0,0,0,0,0,0,0,0,2.83687943262411,0,0,0,2.08028932918,0,0,0,5.752,0,0,0,0,0,0,0,0,0,0,10.6691687618041,13.0703152818929,13.0703152818929
2011-08-01,2011,"Q3","2011/12","Q1","August",0,0,0,7.83266393169389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146823840682788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146823840682788,7.97948777237668,7.97948777237668
2011-09-01,2011,"Q3","2011/12","Q1","September",0,0,0,5.72754415555414,0,0,0,0,0,0,0,0,0,0,0,0,0.340901343151292,0,0,0,0.378344375441073,0,0,6.89641379310345,0,0,0,0,0,0,0,0,0,0,0,7.61565951169581,13.34320366725,13.34320366725
2011-10-01,2011,"Q4","2011/12","Q2","October",0,0,0,3.86378454269098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689354961254181,0,0,0,6.67651280918728,0,0,0,0,0,0,0,0,0,0,7.36586777044146,11.2296523131324,11.2296523131324
2011-11-01,2011,"Q4","2011/12","Q2","November",0,48.661011,48.661011,1.82036038203922,0,0,0,0,0,0,0,0,0,23.9173416671982,0,23.9173416671982,4.00021334471172,0,0,0,0,0,0,0,0,0,0,0,0,4.40608228,0,0,0,0,0,8.40629562471172,34.1439976739491,82.8050086739491
2011-12-01,2011,"Q4","2011/12","Q2","December",0,0,0,3.3082254875795,0,0,0,0,0,0,0,0,0,7.84806152880239,0,7.84806152880239,0.456716340005742,0,0,0,4.973315,31.4168007598071,0,2.59926437140146,7.966321244,0,0,0,10.34179617,2.16568202,0,0,0,0,0,59.9198959052143,71.0761829215962,71.0761829215962
2012-01-01,2012,"Q1","2011/12","Q3","January",0,0,0,2.19476761485037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19476761485037,2.19476761485037
2012-02-01,2012,"Q1","2011/12","Q3","February",0,0,0,7.56589778,0,0,0,0,0,0,0,0,0,7.935,0,7.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.50089778,15.50089778
2012-03-01,2012,"Q1","2011/12","Q3","March",0,0,0,6.34575155996688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19143278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19143278,9.53718433996688,9.53718433996688
2012-04-01,2012,"Q2","2011/12","Q4","April",0,0,0,6.49653505695424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49653505695424,6.49653505695424
2012-05-01,2012,"Q2","2011/12","Q4","May",0,0,0,2.07344715298299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07344715298299,2.07344715298299
2012-06-01,2012,"Q2","2011/12","Q4","June",0,1e-04,1e-04,3.25480674568061,0,0,26.5425989219528,0,0,0,0,0,0,0,0,26.5425989219528,0,0,0,0,4.79828324245203,0,0,0,0,0,0,0,0,0,0,0,0,5.99984832,0,10.798131562452,40.5955372300855,40.5956372300855
2012-07-01,2012,"Q3","2012/13","Q1","July",0,0,0,0.725908343478956,0,0,0.0514211621134378,0,0,0,0,0,0,0,0,0.0514211621134378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777329505592394,0.777329505592394
2012-08-01,2012,"Q3","2012/13","Q1","August",0,8.997714,8.997714,7.24728123110809,0,0,0,3.75497483,0,0,0,0,0,0,0,3.75497483,2.463,0,0,0,0,0,0,3.75497483,0,0,0,0,0,4.45108199,0,0,0,0,0,10.66905682,21.6713128811081,30.6690268811081
